GOID,ONTOLOGY,TERM,LINK
GO:0000290,BP,deadenylation-dependent decapping of nuclear-transcribed mRNA,http://purl.obolibrary.org/obo/GO_0000290
GO:0000292,BP,RNA fragment catabolic process,http://purl.obolibrary.org/obo/GO_0000292
GO:0000293,MF,ferric-chelate reductase activity,http://purl.obolibrary.org/obo/GO_0000293
GO:0000295,MF,adenine nucleotide transmembrane transporter activity,http://purl.obolibrary.org/obo/GO_0000295
GO:0000298,MF,endopolyphosphatase activity,http://purl.obolibrary.org/obo/GO_0000298
GO:0000301,BP,"retrograde transport, vesicle recycling within Golgi",http://purl.obolibrary.org/obo/GO_0000301
GO:0000302,BP,response to reactive oxygen species,http://purl.obolibrary.org/obo/GO_0000302
GO:0000303,BP,response to superoxide,http://purl.obolibrary.org/obo/GO_0000303
GO:0000304,BP,response to singlet oxygen,http://purl.obolibrary.org/obo/GO_0000304
GO:0000305,BP,response to oxygen radical,http://purl.obolibrary.org/obo/GO_0000305
GO:0000307,CC,cyclin-dependent protein kinase holoenzyme complex,http://purl.obolibrary.org/obo/GO_0000307
GO:0000309,MF,nicotinamide-nucleotide adenylyltransferase activity,http://purl.obolibrary.org/obo/GO_0000309
GO:0000311,CC,plastid large ribosomal subunit,http://purl.obolibrary.org/obo/GO_0000311
GO:0000312,CC,plastid small ribosomal subunit,http://purl.obolibrary.org/obo/GO_0000312
GO:0000313,CC,organellar ribosome,http://purl.obolibrary.org/obo/GO_0000313
GO:0000314,CC,organellar small ribosomal subunit,http://purl.obolibrary.org/obo/GO_0000314
GO:0000315,CC,organellar large ribosomal subunit,http://purl.obolibrary.org/obo/GO_0000315
GO:0000322,CC,storage vacuole,http://purl.obolibrary.org/obo/GO_0000322
GO:0000323,CC,lytic vacuole,http://purl.obolibrary.org/obo/GO_0000323
GO:0000325,CC,plant-type vacuole,http://purl.obolibrary.org/obo/GO_0000325
GO:0000326,CC,protein storage vacuole,http://purl.obolibrary.org/obo/GO_0000326
GO:0000327,CC,lytic vacuole within protein storage vacuole,http://purl.obolibrary.org/obo/GO_0000327
GO:0000330,CC,plant-type vacuole lumen,http://purl.obolibrary.org/obo/GO_0000330
GO:0000333,CC,telomerase catalytic core complex,http://purl.obolibrary.org/obo/GO_0000333
GO:0000338,BP,protein deneddylation,http://purl.obolibrary.org/obo/GO_0000338
GO:0000339,MF,RNA cap binding,http://purl.obolibrary.org/obo/GO_0000339
GO:0000340,MF,RNA 7-methylguanosine cap binding,http://purl.obolibrary.org/obo/GO_0000340
GO:0000346,CC,transcription export complex,http://purl.obolibrary.org/obo/GO_0000346
GO:0000347,CC,THO complex,http://purl.obolibrary.org/obo/GO_0000347
GO:0000349,BP,generation of catalytic spliceosome for first transesterification step,http://purl.obolibrary.org/obo/GO_0000349
GO:0000350,BP,generation of catalytic spliceosome for second transesterification step,http://purl.obolibrary.org/obo/GO_0000350
GO:0000354,BP,cis assembly of pre-catalytic spliceosome,http://purl.obolibrary.org/obo/GO_0000354
GO:0000372,BP,Group I intron splicing,http://purl.obolibrary.org/obo/GO_0000372
GO:0000373,BP,Group II intron splicing,http://purl.obolibrary.org/obo/GO_0000373
GO:0000374,BP,Group III intron splicing,http://purl.obolibrary.org/obo/GO_0000374
GO:0000375,BP,"RNA splicing, via transesterification reactions",http://purl.obolibrary.org/obo/GO_0000375
GO:0000376,BP,"RNA splicing, via transesterification reactions with guanosine as nucleophile",http://purl.obolibrary.org/obo/GO_0000376
GO:0000377,BP,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",http://purl.obolibrary.org/obo/GO_0000377
GO:0000379,BP,tRNA-type intron splice site recognition and cleavage,http://purl.obolibrary.org/obo/GO_0000379
GO:0000380,BP,"alternative mRNA splicing, via spliceosome",http://purl.obolibrary.org/obo/GO_0000380
GO:0000381,BP,"regulation of alternative mRNA splicing, via spliceosome",http://purl.obolibrary.org/obo/GO_0000381
GO:0000387,BP,spliceosomal snRNP assembly,http://purl.obolibrary.org/obo/GO_0000387
GO:0000388,BP,spliceosome conformational change to release U4 (or U4atac) and U1 (or U11),http://purl.obolibrary.org/obo/GO_0000388
GO:0000389,BP,mRNA 3'-splice site recognition,http://purl.obolibrary.org/obo/GO_0000389
GO:0000390,BP,spliceosomal complex disassembly,http://purl.obolibrary.org/obo/GO_0000390
GO:0000393,BP,spliceosomal conformational changes to generate catalytic conformation,http://purl.obolibrary.org/obo/GO_0000393
GO:0000394,BP,"RNA splicing, via endonucleolytic cleavage and ligation",http://purl.obolibrary.org/obo/GO_0000394
GO:0000395,BP,mRNA 5'-splice site recognition,http://purl.obolibrary.org/obo/GO_0000395
GO:0000398,BP,"mRNA splicing, via spliceosome",http://purl.obolibrary.org/obo/GO_0000398
GO:0000400,MF,four-way junction DNA binding,http://purl.obolibrary.org/obo/GO_0000400
GO:0000407,CC,phagophore assembly site,http://purl.obolibrary.org/obo/GO_0000407
GO:0000408,CC,EKC/KEOPS complex,http://purl.obolibrary.org/obo/GO_0000408
GO:0000413,BP,protein peptidyl-prolyl isomerization,http://purl.obolibrary.org/obo/GO_0000413
GO:0000417,CC,HIR complex,http://purl.obolibrary.org/obo/GO_0000417
GO:0000418,CC,RNA polymerase IV complex,http://purl.obolibrary.org/obo/GO_0000418
GO:0000419,CC,RNA polymerase V complex,http://purl.obolibrary.org/obo/GO_0000419
GO:0000421,CC,autophagosome membrane,http://purl.obolibrary.org/obo/GO_0000421
GO:0000422,BP,autophagy of mitochondrion,http://purl.obolibrary.org/obo/GO_0000422
GO:0000423,BP,mitophagy,http://purl.obolibrary.org/obo/GO_0000423
GO:0000427,CC,plastid-encoded plastid RNA polymerase complex,http://purl.obolibrary.org/obo/GO_0000427
GO:0000428,CC,DNA-directed RNA polymerase complex,http://purl.obolibrary.org/obo/GO_0000428
GO:0000439,CC,transcription factor TFIIH core complex,http://purl.obolibrary.org/obo/GO_0000439
GO:0000444,CC,MIS12/MIND type complex,http://purl.obolibrary.org/obo/GO_0000444
GO:0000445,CC,THO complex part of transcription export complex,http://purl.obolibrary.org/obo/GO_0000445
GO:0000447,BP,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",http://purl.obolibrary.org/obo/GO_0000447
GO:0000448,BP,"cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",http://purl.obolibrary.org/obo/GO_0000448
GO:0000454,BP,snoRNA guided rRNA pseudouridine synthesis,http://purl.obolibrary.org/obo/GO_0000454
GO:0000455,BP,enzyme-directed rRNA pseudouridine synthesis,http://purl.obolibrary.org/obo/GO_0000455
GO:0000460,BP,maturation of 5.8S rRNA,http://purl.obolibrary.org/obo/GO_0000460
GO:0000461,BP,"endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",http://purl.obolibrary.org/obo/GO_0000461
GO:0000462,BP,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",http://purl.obolibrary.org/obo/GO_0000462
GO:0000463,BP,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",http://purl.obolibrary.org/obo/GO_0000463
GO:0000466,BP,"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",http://purl.obolibrary.org/obo/GO_0000466
GO:0000467,BP,"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",http://purl.obolibrary.org/obo/GO_0000467
GO:0000470,BP,maturation of LSU-rRNA,http://purl.obolibrary.org/obo/GO_0000470
GO:0000472,BP,"endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",http://purl.obolibrary.org/obo/GO_0000472
GO:0000476,BP,maturation of 4.5S rRNA,http://purl.obolibrary.org/obo/GO_0000476
GO:0000479,BP,"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",http://purl.obolibrary.org/obo/GO_0000479
GO:0000480,BP,"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",http://purl.obolibrary.org/obo/GO_0000480
GO:0000481,BP,maturation of 5S rRNA,http://purl.obolibrary.org/obo/GO_0000481
GO:0000488,BP,"maturation of LSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA)",http://purl.obolibrary.org/obo/GO_0000488
GO:0000489,BP,"maturation of SSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA)",http://purl.obolibrary.org/obo/GO_0000489
GO:0000491,BP,small nucleolar ribonucleoprotein complex assembly,http://purl.obolibrary.org/obo/GO_0000491
GO:0000492,BP,box C/D snoRNP assembly,http://purl.obolibrary.org/obo/GO_0000492
GO:0000493,BP,box H/ACA snoRNP assembly,http://purl.obolibrary.org/obo/GO_0000493
GO:0000494,BP,box C/D RNA 3'-end processing,http://purl.obolibrary.org/obo/GO_0000494
GO:0000495,BP,box H/ACA RNA 3'-end processing,http://purl.obolibrary.org/obo/GO_0000495
GO:0000502,CC,proteasome complex,http://purl.obolibrary.org/obo/GO_0000502
GO:0000506,CC,glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex,http://purl.obolibrary.org/obo/GO_0000506
GO:0000578,BP,embryonic axis specification,http://purl.obolibrary.org/obo/GO_0000578
GO:0000700,MF,mismatch base pair DNA N-glycosylase activity,http://purl.obolibrary.org/obo/GO_0000700
GO:0000701,MF,purine-specific mismatch base pair DNA N-glycosylase activity,http://purl.obolibrary.org/obo/GO_0000701
GO:0000702,MF,oxidized base lesion DNA N-glycosylase activity,http://purl.obolibrary.org/obo/GO_0000702
GO:0000703,MF,oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity,http://purl.obolibrary.org/obo/GO_0000703
GO:0000706,BP,meiotic DNA double-strand break processing,http://purl.obolibrary.org/obo/GO_0000706
GO:0000707,BP,meiotic DNA recombinase assembly,http://purl.obolibrary.org/obo/GO_0000707
GO:0000708,BP,meiotic strand invasion,http://purl.obolibrary.org/obo/GO_0000708
GO:0000709,BP,meiotic joint molecule formation,http://purl.obolibrary.org/obo/GO_0000709
GO:0000710,BP,meiotic mismatch repair,http://purl.obolibrary.org/obo/GO_0000710
GO:0000712,BP,resolution of meiotic recombination intermediates,http://purl.obolibrary.org/obo/GO_0000712
GO:0000719,BP,photoreactive repair,http://purl.obolibrary.org/obo/GO_0000719
GO:0000720,BP,pyrimidine dimer repair by nucleotide-excision repair,http://purl.obolibrary.org/obo/GO_0000720
GO:0000721,MF,"(R,R)-butanediol dehydrogenase activity",http://purl.obolibrary.org/obo/GO_0000721
GO:0000722,BP,telomere maintenance via recombination,http://purl.obolibrary.org/obo/GO_0000722
GO:0000723,BP,telomere maintenance,http://purl.obolibrary.org/obo/GO_0000723
GO:0000724,BP,double-strand break repair via homologous recombination,http://purl.obolibrary.org/obo/GO_0000724
GO:0000725,BP,recombinational repair,http://purl.obolibrary.org/obo/GO_0000725
GO:0000727,BP,double-strand break repair via break-induced replication,http://purl.obolibrary.org/obo/GO_0000727
GO:0000729,BP,DNA double-strand break processing,http://purl.obolibrary.org/obo/GO_0000729
GO:0000730,BP,DNA recombinase assembly,http://purl.obolibrary.org/obo/GO_0000730
GO:0000731,BP,DNA synthesis involved in DNA repair,http://purl.obolibrary.org/obo/GO_0000731
GO:0000740,BP,nuclear membrane fusion,http://purl.obolibrary.org/obo/GO_0000740
GO:0000741,BP,karyogamy,http://purl.obolibrary.org/obo/GO_0000741
GO:0000769,BP,syncytium formation by mitosis without cytokinesis,http://purl.obolibrary.org/obo/GO_0000769
GO:0000773,MF,phosphatidyl-N-methylethanolamine N-methyltransferase activity,http://purl.obolibrary.org/obo/GO_0000773
GO:0000774,MF,adenyl-nucleotide exchange factor activity,http://purl.obolibrary.org/obo/GO_0000774
GO:0000775,CC,"chromosome, centromeric region",http://purl.obolibrary.org/obo/GO_0000775
GO:0000776,CC,kinetochore,http://purl.obolibrary.org/obo/GO_0000776
GO:0000779,CC,"condensed chromosome, centromeric region",http://purl.obolibrary.org/obo/GO_0000779
GO:0000781,CC,"chromosome, telomeric region",http://purl.obolibrary.org/obo/GO_0000781
GO:0000782,CC,telomere cap complex,http://purl.obolibrary.org/obo/GO_0000782
GO:0000783,CC,nuclear telomere cap complex,http://purl.obolibrary.org/obo/GO_0000783
GO:0000785,CC,chromatin,http://purl.obolibrary.org/obo/GO_0000785
GO:0000786,CC,nucleosome,http://purl.obolibrary.org/obo/GO_0000786
GO:0000791,CC,euchromatin,http://purl.obolibrary.org/obo/GO_0000791
GO:0000792,CC,heterochromatin,http://purl.obolibrary.org/obo/GO_0000792
GO:0000793,CC,condensed chromosome,http://purl.obolibrary.org/obo/GO_0000793
GO:0000794,CC,condensed nuclear chromosome,http://purl.obolibrary.org/obo/GO_0000794
GO:0000795,CC,synaptonemal complex,http://purl.obolibrary.org/obo/GO_0000795
GO:0000796,CC,condensin complex,http://purl.obolibrary.org/obo/GO_0000796
GO:0000802,CC,transverse filament,http://purl.obolibrary.org/obo/GO_0000802
GO:0000808,CC,origin recognition complex,http://purl.obolibrary.org/obo/GO_0000808
