GOID,ONTOLOGY,TERM,LINK
GO:0042254,biological_process,ribosome biogenesis,http://purl.obolibrary.org/obo/GO_0042254
GO:0042214,biological_process,terpene metabolic process,http://purl.obolibrary.org/obo/GO_0042214
GO:0042221,biological_process,response to chemical,http://purl.obolibrary.org/obo/GO_0042221
GO:0042440,biological_process,pigment metabolic process,http://purl.obolibrary.org/obo/GO_0042440
GO:0042364,biological_process,water-soluble vitamin biosynthetic process,http://purl.obolibrary.org/obo/GO_0042364
GO:0019748,biological_process,secondary metabolic process,http://purl.obolibrary.org/obo/GO_0019748
GO:0019752,biological_process,carboxylic acid metabolic process,http://purl.obolibrary.org/obo/GO_0019752
GO:0006082,biological_process,organic acid metabolic process,http://purl.obolibrary.org/obo/GO_0006082
GO:0006091,biological_process,generation of precursor metabolites and energy,http://purl.obolibrary.org/obo/GO_0006091
GO:0006066,biological_process,alcohol metabolic process,http://purl.obolibrary.org/obo/GO_0006066
GO:0080027,biological_process,response to herbivore,http://purl.obolibrary.org/obo/GO_0080027
GO:0043094,biological_process,cellular metabolic compound salvage,http://purl.obolibrary.org/obo/GO_0043094
GO:0055085,biological_process,transmembrane transport,http://purl.obolibrary.org/obo/GO_0055085
GO:0055086,biological_process,nucleobase-containing small molecule metabolic process,http://purl.obolibrary.org/obo/GO_0055086
GO:0043043,biological_process,peptide biosynthetic process,http://purl.obolibrary.org/obo/GO_0043043
GO:0019953,biological_process,sexual reproduction,http://purl.obolibrary.org/obo/GO_0019953
GO:0015888,biological_process,thiamine transport,http://purl.obolibrary.org/obo/GO_0015888
GO:0015868,biological_process,purine ribonucleotide transport,http://purl.obolibrary.org/obo/GO_0015868
GO:0015865,biological_process,purine nucleotide transport,http://purl.obolibrary.org/obo/GO_0015865
GO:0015880,biological_process,coenzyme A transport,http://purl.obolibrary.org/obo/GO_0015880
GO:0061458,biological_process,reproductive system development,http://purl.obolibrary.org/obo/GO_0061458
GO:0048437,biological_process,floral organ development,http://purl.obolibrary.org/obo/GO_0048437
GO:0048439,biological_process,flower morphogenesis,http://purl.obolibrary.org/obo/GO_0048439
GO:0048444,biological_process,floral organ morphogenesis,http://purl.obolibrary.org/obo/GO_0048444
GO:0048450,biological_process,floral organ structural organization,http://purl.obolibrary.org/obo/GO_0048450
GO:1990641,biological_process,response to iron ion starvation,http://purl.obolibrary.org/obo/GO_1990641
GO:0015931,biological_process,nucleobase-containing compound transport,http://purl.obolibrary.org/obo/GO_0015931
GO:0015979,biological_process,photosynthesis,http://purl.obolibrary.org/obo/GO_0015979
